id,text,date,hashtags,rt_count,media,ext_media,place,lang,fav_count,source,Creator
1.51863E+18,"RT @skims: COMING SOON: NEW SOFT LOUNGE.
We’re adding new styles and colors to our most-coveted loungewear collection — plus restocking you…",2022-04-25 16:30:46+00:00,,54,,,,en,0,Twitter for iPhone,KK
1.51835E+18,Today is the 107th anniversary of the #ArmenianGenocide. Let’s all stand together &amp; remember the 1.5 million people who were massacred. I’m so proud that America recognizes the Armenian Genocide. #NeverForget 🙏🏼🇦🇲 https://t.co/cS3ULa9Awo,2022-04-24 22:18:45+00:00,"ArmenianGenocide, NeverForget",803,photo,"photo, photo",,en,8198,Twitter for iPhone,KK
1.51791E+18,"Only one week left to shop our @kkwfragrance 40% off sitewide sale! Shop now before they’re gone for good! Ends Saturday, 4.30 at 11:59PM PT https://t.co/tbQezJs782 https://t.co/E45FKrSlmz",2022-04-23 16:35:56+00:00,,93,photo,photo,,en,1633,Twitter for iPhone,KK
1.51789E+18,Trifecta https://t.co/uqfIOiTzgl,2022-04-23 15:36:14+00:00,,1862,photo,photo,,es,68187,Twitter for iPhone,KK
1.51755E+18,Just added new items to my #KardashianKloset 🛍 Check them out now https://t.co/fTHv96YJsu,2022-04-22 17:02:47+00:00,KardashianKloset,119,,,,en,1869,Twitter for iPhone,KK
1.51717E+18,"RT @skims: JUST DROPPED: RASPBERRY COTTON
The color of the season is here! Shop Cotton rib and jersey loungewear and underwear plus matchin…",2022-04-21 16:02:20+00:00,,54,,,,en,0,Twitter for iPhone,KK
1.51717E+18,"RT @KKWFRAGRANCE: Shower mom with fragrance this Mother's Day. Scent is closely tied to memory, so she'll think of you each time she wears…",2022-04-21 16:02:17+00:00,,91,,,,en,0,Twitter for iPhone,KK
1.51712E+18,Good morning ☀️,2022-04-21 12:45:20+00:00,,1272,,,,en,27799,Twitter for iPhone,KK
1.517E+18,I love that you guys get to see the behind the scenes of SNL! This week was so crazy! #TheKardashians,2022-04-21 04:44:56+00:00,TheKardashians,131,,,,en,4045,Twitter for iPhone,KK
1.517E+18,RT @kylieIands: a queen!! @KimKardashian #TheKardashians #TheKardashians https://t.co/Aon2U2GB4g,2022-04-21 04:43:28+00:00,"TheKardashians, TheKardashians",47,photo,animated_gif,,en,0,Twitter for iPhone,KK
1.517E+18,Love you @MakeupByMario 🤍 https://t.co/FrVZlcyWuk,2022-04-21 04:43:26+00:00,,40,,,,en,901,Twitter for iPhone,KK
1.517E+18,He’s the absolute best. I love him so much!! He makes me cry when he cries https://t.co/A0IF4V2yRw,2022-04-21 04:43:15+00:00,,116,,,,en,3691,Twitter for iPhone,KK
1.517E+18,I love this!!! https://t.co/Tac0IHPB9E,2022-04-21 04:41:52+00:00,,39,,,,en,978,Twitter for iPhone,KK
1.517E+18,"RT @khloewifey: Kim, the comedy queen!! #TheKardashians #TheKardashians #TheKardashians #TheKardashians @KimKardashian @kardashianshulu htt…",2022-04-21 04:39:32+00:00,"TheKardashians, TheKardashians, TheKardashians, TheKardashians",37,,,,en,0,Twitter for iPhone,KK
1.517E+18,💓 https://t.co/XaOOhtsKJf,2022-04-21 04:39:04+00:00,,142,,,,und,5763,Twitter for iPhone,KK
1.517E+18,OMG I really am JK https://t.co/beR9SWrmdE,2022-04-21 04:37:45+00:00,,38,,,,en,1023,Twitter for iPhone,KK
1.517E+18,Hehe glad you’re not mad!!! #TheKardashians https://t.co/8iM5XfEHpq,2022-04-21 04:35:30+00:00,TheKardashians,73,,,,en,1777,Twitter for iPhone,KK
1.517E+18,🙏🏼 https://t.co/ahkKJ2uDN9,2022-04-21 04:27:48+00:00,,38,,,,und,571,Twitter for iPhone,KK
1.517E+18,@khloekardashian @Khlocaine_ OMG 😂,2022-04-21 04:21:57+00:00,,17,,,,und,426,Twitter for iPhone,KK
1.517E+18,No one was safe 😂 #TheKardashians https://t.co/zU4vKK12R5,2022-04-21 04:21:40+00:00,TheKardashians,55,,,,en,1231,Twitter for iPhone,KK
1.51699E+18,RT @BeautyByRog: It’s so cool seeing the candids of Kim from SNL week and now seeing the BTS. I loveeeee it #TheKardashians,2022-04-21 04:19:26+00:00,TheKardashians,24,,,,en,0,Twitter for iPhone,KK
1.51699E+18,📚⚖️✨ https://t.co/dM8LIVhD7q,2022-04-21 04:18:41+00:00,,30,,,,und,546,Twitter for iPhone,KK
1.51699E+18,RT @kardashianshulu: cheers to that. episode 2 of #TheKardashians is now streaming. https://t.co/LIyp7geD1r,2022-04-21 04:16:39+00:00,TheKardashians,193,photo,video,,en,0,Twitter for iPhone,KK
1.51699E+18,@DashDolls831 Facts!,2022-04-21 04:13:02+00:00,,5,,,,en,31,Twitter for iPhone,KK
1.51699E+18,🤍 https://t.co/eiIDF9Ol7V,2022-04-21 04:09:10+00:00,,27,,,,und,528,Twitter for iPhone,KK
1.51699E+18,Love u!!! https://t.co/LLUzzgxZuX,2022-04-21 04:06:13+00:00,,59,,,,en,1089,Twitter for iPhone,KK
1.51699E+18,🤍 https://t.co/qPo90HoJ0Y,2022-04-21 04:04:48+00:00,,25,,,,und,431,Twitter for iPhone,KK
